colour	y	x	PANEL	fill
#00BFC4	0.223376623376623	0.513333333333333	3	#00BFC4
#7CAE00	0.376103896103896	0.637878787878788	3	#7CAE00
#00BFC4	0.279090909090909	0.496060606060606	3	#00BFC4
#00BFC4	0.543506493506493	0.408181818181818	3	#00BFC4
#C77CFF	0.316623376623377	0.490151515151515	3	#C77CFF
#C77CFF	0.494415584415584	0.398333333333333	3	#C77CFF
#00BFC4	0.565974025974026	0.402424242424242	3	#00BFC4
#C77CFF	0.074025974025974	0.462121212121212	3	#C77CFF
#00BFC4	0.340519480519481	0.489393939393939	3	#00BFC4
#00BFC4	0.151818181818182	0.288181818181818	3	#00BFC4
#00BFC4	0.362207792207792	0.437121212121212	3	#00BFC4
#00BFC4	0.215844155844156	0.281818181818182	3	#00BFC4
#00BFC4	0.37025974025974	0.403333333333333	3	#00BFC4
#00BFC4	0.651038961038961	0.540454545454545	3	#00BFC4
#00BFC4	0.456103896103896	0.568333333333333	3	#00BFC4
#00BFC4	0.55961038961039	0.406969696969697	3	#00BFC4
#C77CFF	0.105844155844156	0.514393939393939	3	#C77CFF
#00BFC4	0.445454545454545	0.424545454545455	3	#00BFC4
#C77CFF	0.248051948051948	0.447727272727273	3	#C77CFF
#7CAE00	0.451168831168831	0.509090909090909	3	#7CAE00
#C77CFF	0.364675324675325	0.365909090909091	3	#C77CFF
#00BFC4	0.416233766233766	0.403939393939394	3	#00BFC4
#7CAE00	0.465324675324675	0.521515151515151	3	#7CAE00
#00BFC4	0.373116883116883	0.382121212121212	3	#00BFC4
#C77CFF	0.523506493506493	0.336515151515152	3	#C77CFF
#00BFC4	0.317272727272727	0.541212121212121	3	#00BFC4
#C77CFF	0.216493506493507	0.397424242424242	3	#C77CFF
#C77CFF	0.371298701298701	0.500757575757576	3	#C77CFF
#00BFC4	0.588051948051948	0.531969696969697	3	#00BFC4
#00BFC4	0.4	0.502424242424242	3	#00BFC4
#00BFC4	0.455454545454546	0.464090909090909	3	#00BFC4
#7CAE00	0.294675324675325	0.549848484848485	3	#7CAE00
#00BFC4	0.487662337662338	0.349242424242424	3	#00BFC4
#00BFC4	0.435064935064935	0.490606060606061	3	#00BFC4
#7CAE00	0.576493506493507	0.507878787878788	3	#7CAE00
#7CAE00	0.318831168831169	0.421969696969697	3	#7CAE00
#C77CFF	0.134025974025974	0.37530303030303	3	#C77CFF
#00BFC4	0.351168831168831	0.431818181818182	3	#00BFC4
#00BFC4	0.374545454545455	0.426515151515152	3	#00BFC4
#00BFC4	0.398051948051948	0.400757575757576	3	#00BFC4
#C77CFF	0.0918181818181818	0.402272727272727	3	#C77CFF
#C77CFF	0.692207792207792	0.566515151515152	3	#C77CFF
#00BFC4	0.343376623376623	0.446363636363636	3	#00BFC4
#C77CFF	0.265974025974026	0.459242424242424	3	#C77CFF
#00BFC4	0.41948051948052	0.526212121212121	3	#00BFC4
#00BFC4	0.442077922077922	0.414393939393939	3	#00BFC4
#7CAE00	0.408701298701299	0.595757575757576	3	#7CAE00
#7CAE00	NA	0.436666666666667	3	#7CAE00
#00BFC4	0.348831168831169	0.41530303030303	3	#00BFC4
