colour	y	x	showSelected	PANEL	fill
#00BFC4	0.348311688311688	0.439090909090909	2014_06_02	4	#00BFC4
#00BFC4	0.392857142857143	0.528181818181818	2014_06_02	4	#00BFC4
#7CAE00	0.136103896103896	0.423333333333333	2014_06_02	4	#7CAE00
#00BFC4	0.275714285714286	0.417878787878788	2014_06_02	4	#00BFC4
#00BFC4	0.57	0.550757575757576	2014_05_28	4	#00BFC4
#00BFC4	0.291558441558442	0.419242424242424	2014_05_28	4	#00BFC4
#00BFC4	0.505194805194805	0.454242424242424	2014_05_28	4	#00BFC4
#00BFC4	0.361688311688312	0.47	2014_05_28	4	#00BFC4
#00BFC4	0.463376623376623	0.375909090909091	2014_06_02	4	#00BFC4
#C77CFF	0.407792207792208	0.439848484848485	2014_06_02	4	#C77CFF
#00BFC4	0.394285714285714	0.471363636363636	2014_06_02	4	#00BFC4
#00BFC4	0.524415584415584	0.264393939393939	2014_06_02	4	#00BFC4
#7CAE00	0.280779220779221	0.581363636363636	2014_06_02	4	#7CAE00
#C77CFF	0.228441558441558	0.491363636363636	2014_06_02	4	#C77CFF
#00BFC4	0.275194805194805	0.487727272727273	2014_06_02	4	#00BFC4
#7CAE00	0.159220779220779	0.37530303030303	2014_06_02	4	#7CAE00
#C77CFF	0.216493506493507	0.353181818181818	2014_06_02	4	#C77CFF
#C77CFF	0.177792207792208	0.283787878787879	2014_06_02	4	#C77CFF
#00BFC4	0.342077922077922	0.545151515151515	2014_05_28	4	#00BFC4
#00BFC4	0.476493506493507	0.683636363636364	2014_05_28	4	#00BFC4
#00BFC4	0.171948051948052	0.526060606060606	2014_05_28	4	#00BFC4
#C77CFF	0.237272727272727	0.368181818181818	2014_05_28	4	#C77CFF
#7CAE00	0.430779220779221	0.526515151515151	2014_05_28	4	#7CAE00
#00BFC4	0.310779220779221	0.433333333333333	2014_06_02	4	#00BFC4
#00BFC4	0.185454545454545	0.512878787878788	2014_05_28	4	#00BFC4
#00BFC4	NA	0.431363636363636	2014_05_28	4	#00BFC4
#00BFC4	0.641298701298701	0.432121212121212	2014_05_28	4	#00BFC4
#00BFC4	0.28025974025974	0.483484848484848	2014_05_28	4	#00BFC4
#00BFC4	0.386623376623377	0.478636363636364	2014_05_28	4	#00BFC4
#C77CFF	0.458831168831169	0.500757575757576	2014_05_28	4	#C77CFF
