colour	y	x	showSelected	PANEL	fill
#00BFC4	0.4	0.502424242424242	2014_09_24	3	#00BFC4
#00BFC4	0.23987012987013	0.421969696969697	2014_09_24	4	#00BFC4
#00BFC4	0.387662337662338	0.369242424242424	2014_09_24	4	#00BFC4
#00BFC4	0.344415584415584	0.324090909090909	2014_09_24	4	#00BFC4
#C77CFF	0.0787012987012987	0.411212121212121	2014_09_24	4	#C77CFF
#C77CFF	0.424805194805195	0.344393939393939	2014_09_24	4	#C77CFF
#00BFC4	0.387922077922078	0.641060606060606	2014_09_24	4	#00BFC4
#00BFC4	0.333246753246753	0.273030303030303	2014_09_24	4	#00BFC4
#00BFC4	0.387922077922078	0.443939393939394	2014_09_24	4	#00BFC4
#00BFC4	0.535064935064935	0.392121212121212	2014_09_24	4	#00BFC4
#00BFC4	0.389090909090909	0.352121212121212	2014_09_24	4	#00BFC4
#7CAE00	0.288571428571429	0.433787878787879	2014_09_24	4	#7CAE00
#00BFC4	0.361688311688312	0.399848484848485	2014_09_24	4	#00BFC4
#7CAE00	0.487012987012987	0.514242424242424	2014_09_24	4	#7CAE00
#00BFC4	0.484675324675325	0.697272727272727	2014_09_24	4	#00BFC4
#C77CFF	0.357272727272727	0.475151515151515	2014_09_24	4	#C77CFF
#7CAE00	0.148831168831169	0.576818181818182	2014_09_24	4	#7CAE00
#00BFC4	0.246883116883117	0.379393939393939	2014_09_24	4	#00BFC4
#00BFC4	0.333766233766234	0.455	2014_09_24	4	#00BFC4
#00BFC4	0.408961038961039	0.348939393939394	2014_09_24	4	#00BFC4
#00BFC4	0.452987012987013	0.598787878787879	2014_09_24	4	#00BFC4
#00BFC4	0.38961038961039	0.760151515151515	2014_09_24	4	#00BFC4
#C77CFF	0.0993506493506494	0.586515151515151	2014_09_24	4	#C77CFF
#C77CFF	0.158571428571429	0.355	2014_09_24	4	#C77CFF
#7CAE00	0.477142857142857	0.534848484848485	2014_09_24	4	#7CAE00
#00BFC4	0.46012987012987	0.233333333333333	2014_09_24	4	#00BFC4
#00BFC4	0.206363636363636	0.440454545454545	2014_09_24	4	#00BFC4
#C77CFF	0.232077922077922	0.348939393939394	2014_09_24	4	#C77CFF
#C77CFF	0.372207792207792	0.431060606060606	2014_09_24	4	#C77CFF
#C77CFF	0.297662337662338	0.520454545454545	2014_09_24	4	#C77CFF
#C77CFF	0.447532467532468	0.442727272727273	2014_09_24	4	#C77CFF
#00BFC4	0.494415584415584	0.683939393939394	2014_09_24	4	#00BFC4
#C77CFF	0.259220779220779	0.367727272727273	2014_09_24	4	#C77CFF
#00BFC4	0.590519480519481	0.456212121212121	2014_09_24	4	#00BFC4
#F8766D	0.312727272727273	0.576515151515152	2014_09_24	4	#F8766D
#C77CFF	0.332077922077922	0.345454545454545	2014_09_24	4	#C77CFF
#00BFC4	0.322857142857143	0.547424242424242	2014_09_24	4	#00BFC4
#00BFC4	0.397272727272727	0.612424242424242	2014_09_24	4	#00BFC4
#C77CFF	0.183116883116883	0.394393939393939	2014_09_24	4	#C77CFF
#00BFC4	0.49961038961039	0.421212121212121	2014_09_24	4	#00BFC4
#00BFC4	0.266103896103896	0.364393939393939	2014_09_24	4	#00BFC4
#7CAE00	0.257922077922078	0.371212121212121	2014_09_24	4	#7CAE00
#00BFC4	0.342727272727273	0.634545454545455	2014_09_24	4	#00BFC4
#C77CFF	0.444805194805195	0.466212121212121	2014_09_24	4	#C77CFF
#C77CFF	0.0464935064935065	0.402575757575758	2014_09_24	4	#C77CFF
#C77CFF	0.217662337662338	0.435606060606061	2014_09_24	4	#C77CFF
#C77CFF	0.260779220779221	0.321363636363636	2014_09_24	4	#C77CFF
#00BFC4	0.36025974025974	0.586969696969697	2014_09_24	4	#00BFC4
#00BFC4	0.374545454545455	0.371666666666667	2014_09_24	4	#00BFC4
#00BFC4	0.349220779220779	0.647424242424242	2014_09_24	4	#00BFC4
#00BFC4	0.368831168831169	0.470909090909091	2014_09_24	4	#00BFC4
#00BFC4	0.313896103896104	0.411818181818182	2014_09_24	4	#00BFC4
#00BFC4	0.244805194805195	0.599545454545455	2014_09_24	4	#00BFC4
#7CAE00	0.365454545454545	0.466212121212121	2014_09_24	4	#7CAE00
#00BFC4	0.588051948051948	0.397272727272727	2014_09_24	4	#00BFC4
#C77CFF	0.450909090909091	0.450606060606061	2014_09_24	4	#C77CFF
#00BFC4	0.427142857142857	0.557575757575758	2014_09_24	4	#00BFC4
#00BFC4	0.570909090909091	0.421818181818182	2014_09_24	4	#00BFC4
#C77CFF	0.207142857142857	0.418333333333333	2014_09_24	4	#C77CFF
